,year,circuit_name,final,driver_name,cumulative_min_monaco
2303,1950,Circuit de Monaco,11598,Juan Fangio,11598
2720,1956,Circuit de Monaco,10832,Stirling Moss,10832
2280,1958,Circuit de Monaco,10347,Maurice Trintignant,10347
2724,1960,Circuit de Monaco,10425,Stirling Moss,10347
2866,1963,Circuit de Monaco,9709,Graham Hill,9709
2868,1965,Circuit de Monaco,9459,Graham Hill,9459
3285,1967,Circuit de Monaco,9274,Denny Hulme,9274
2878,1969,Circuit de Monaco,7019,Graham Hill,7019
2896,1971,Circuit de Monaco,6741,Jackie Stewart,6741
2898,1973,Circuit de Monaco,7064,Jackie Stewart,6741
2436,1975,Circuit de Monaco,7281,Niki Lauda,6741
2465,1977,Circuit de Monaco,7072,Jody Scheckter,6741
2460,1979,Circuit de Monaco,6922,Jody Scheckter,6741
2459,1981,Circuit de Monaco,6863,Gilles Villeneuve,6741
3270,1983,Circuit de Monaco,6998,Keke Rosberg,6741
2537,1985,Circuit de Monaco,6718,Alain Prost,6718
3079,1987,Circuit de Monaco,7074,Ayrton Senna,6718
2540,1988,Circuit de Monaco,7037,Alain Prost,6718
3081,1989,Circuit de Monaco,6813,Ayrton Senna,6718
3082,1990,Circuit de Monaco,6766,Ayrton Senna,6718
3083,1991,Circuit de Monaco,6782,Ayrton Senna,6718
3084,1992,Circuit de Monaco,6659,Ayrton Senna,6659
3085,1993,Circuit de Monaco,6730,Ayrton Senna,6659
2597,1994,Circuit de Monaco,6595,Michael Schumacher,6595
2598,1995,Circuit de Monaco,6791,Michael Schumacher,6595
3599,1996,Circuit de Monaco,7245,Olivier Panis,6595
2582,1997,Circuit de Monaco,7205,Michael Schumacher,6595
3135,1998,Circuit de Monaco,6684,Mika Häkkinen,6595
2584,1999,Circuit de Monaco,6571,Michael Schumacher,6571
3340,2000,Circuit de Monaco,6568,David Coulthard,6568
2586,2001,Circuit de Monaco,6442,Michael Schumacher,6442
3342,2002,Circuit de Monaco,6339,David Coulthard,6339
3360,2003,Circuit de Monaco,6139,Juan Pablo Montoya,6139
3615,2004,Circuit de Monaco,6346,Jarno Trulli,6139
2652,2005,Circuit de Monaco,6315,Kimi Räikkönen,6139
2687,2006,Circuit de Monaco,6223,Fernando Alonso,6139
2680,2007,Circuit de Monaco,6029,Fernando Alonso,6029
2983,2008,Circuit de Monaco,7242,Lewis Hamilton,6029
3310,2009,Circuit de Monaco,6044,Jenson Button,6029
3547,2010,Circuit de Monaco,6613,Mark Webber,6029
2698,2011,Circuit de Monaco,7778,Sebastian Vettel,6029
3549,2012,Circuit de Monaco,6366,Mark Webber,6029
2967,2013,Circuit de Monaco,8272,Nico Rosberg,6029
2968,2014,Circuit de Monaco,6567,Nico Rosberg,6029
2969,2015,Circuit de Monaco,6558,Nico Rosberg,6029
2978,2016,Circuit de Monaco,7169,Lewis Hamilton,6029
2693,2017,Circuit de Monaco,6284,Sebastian Vettel,6029
3648,2018,Circuit de Monaco,6174,Daniel Ricciardo,6029
2981,2019,Circuit de Monaco,6208,Lewis Hamilton,6029
