,year,circuit_name,final,driver_name,cumulative_min_monza
5114,1950,Autodromo Nazionale di Monza,10277,Nino Farina,10277
5638,1956,Autodromo Nazionale di Monza,8621,Stirling Moss,8621
5222,1958,Autodromo Nazionale di Monza,7427,Tony Brooks,7427
5206,1960,Autodromo Nazionale di Monza,8469,Phil Hill,7427
5954,1963,Autodromo Nazionale di Monza,8659,Jim Clark,7427
5827,1965,Autodromo Nazionale di Monza,7492,Jackie Stewart,7427
5266,1967,Autodromo Nazionale di Monza,6225,John Surtees,6225
5831,1969,Autodromo Nazionale di Monza,5951,Jackie Stewart,5951
5865,1971,Autodromo Nazionale di Monza,4692,Peter Gethin,4692
5980,1973,Autodromo Nazionale di Monza,5357,Ronnie Peterson,4692
5309,1975,Autodromo Nazionale di Monza,4962,Clay Regazzoni,4692
5319,1977,Autodromo Nazionale di Monza,5270,Mario Andretti,4692
5356,1979,Autodromo Nazionale di Monza,4920,Jody Scheckter,4692
5438,1981,Autodromo Nazionale di Monza,5196,Alain Prost,4692
6049,1983,Autodromo Nazionale di Monza,4990,Nelson Piquet,4692
5432,1985,Autodromo Nazionale di Monza,4679,Alain Prost,4679
6054,1987,Autodromo Nazionale di Monza,4487,Nelson Piquet,4487
5405,1988,Autodromo Nazionale di Monza,4659,Gerhard Berger,4487
5436,1989,Autodromo Nazionale di Monza,4767,Alain Prost,4487
6035,1990,Autodromo Nazionale di Monza,4677,Ayrton Senna,4487
5427,1991,Autodromo Nazionale di Monza,4674,Nigel Mansell,4487
6037,1992,Autodromo Nazionale di Monza,4695,Ayrton Senna,4487
6200,1993,Autodromo Nazionale di Monza,4627,Damon Hill,4487
6201,1994,Autodromo Nazionale di Monza,4683,Damon Hill,4487
6062,1995,Autodromo Nazionale di Monza,4707,Johnny Herbert,4487
5479,1996,Autodromo Nazionale di Monza,4663,Michael Schumacher,4487
6308,1997,Autodromo Nazionale di Monza,4624,David Coulthard,4487
5481,1998,Autodromo Nazionale di Monza,4630,Michael Schumacher,4487
6478,1999,Autodromo Nazionale di Monza,4622,Heinz-Harald Frentzen,4487
5482,2000,Autodromo Nazionale di Monza,5251,Michael Schumacher,4487
6330,2001,Autodromo Nazionale di Monza,4618,Juan Pablo Montoya,4487
5505,2002,Autodromo Nazionale di Monza,4579,Rubens Barrichello,4487
5485,2003,Autodromo Nazionale di Monza,4459,Michael Schumacher,4459
5507,2004,Autodromo Nazionale di Monza,4518,Rubens Barrichello,4459
6329,2005,Autodromo Nazionale di Monza,4468,Juan Pablo Montoya,4459
5488,2006,Autodromo Nazionale di Monza,4491,Michael Schumacher,4459
5574,2007,Autodromo Nazionale di Monza,4717,Fernando Alonso,4459
5598,2008,Autodromo Nazionale di Monza,5207,Sebastian Vettel,4459
5521,2009,Autodromo Nazionale di Monza,4581,Rubens Barrichello,4459
5569,2010,Autodromo Nazionale di Monza,4584,Fernando Alonso,4459
5593,2011,Autodromo Nazionale di Monza,4846,Sebastian Vettel,4459
5939,2012,Autodromo Nazionale di Monza,4781,Lewis Hamilton,4459
5595,2013,Autodromo Nazionale di Monza,4713,Sebastian Vettel,4459
5928,2014,Autodromo Nazionale di Monza,4750,Lewis Hamilton,4459
5929,2015,Autodromo Nazionale di Monza,4680,Lewis Hamilton,4459
5922,2016,Autodromo Nazionale di Monza,4648,Nico Rosberg,4459
5931,2017,Autodromo Nazionale di Monza,4532,Lewis Hamilton,4459
5932,2018,Autodromo Nazionale di Monza,4614,Lewis Hamilton,4459
5599,2019,Autodromo Nazionale di Monza,4526,Charles Leclerc,4459
