,position,fastest_lap_rank
364,1,2.0
23016,1,1.0
10311,1,4.0
10308,1,4.0
10305,1,1.0
23123,1,2.0
23124,1,2.0
23125,1,3.0
23133,1,2.0
23149,1,3.0
23161,1,12.0
23169,1,1.0
7846,1,4.0
7844,1,4.0
23270,1,3.0
23271,1,1.0
23283,1,5.0
23287,1,3.0
23288,1,1.0
7669,1,2.0
7394,1,3.0
7392,1,1.0
7390,1,1.0
7389,1,3.0
7388,1,1.0
7387,1,1.0
7378,1,2.0
7160,1,1.0
10557,1,2.0
10558,1,2.0
11886,1,2.0
11888,1,1.0
14672,1,7.0
22772,1,2.0
22776,1,2.0
14621,1,1.0
14609,1,1.0
14607,1,2.0
22798,1,3.0
13469,1,2.0
13468,1,5.0
22821,1,4.0
12646,1,1.0
22829,1,2.0
22838,1,2.0
7158,1,1.0
22852,1,8.0
22862,1,2.0
22863,1,1.0
22865,1,1.0
22867,1,5.0
22869,1,1.0
22872,1,2.0
12042,1,2.0
12040,1,1.0
12039,1,3.0
12034,1,6.0
22884,1,4.0
11960,1,2.0
11954,1,2.0
22856,1,6.0
7151,1,1.0
7139,1,1.0
7103,1,1.0
5507,1,1.0
5488,1,2.0
23767,1,1.0
23768,1,4.0
23771,1,2.0
23781,1,5.0
23785,1,4.0
23787,1,5.0
23789,1,5.0
23790,1,1.0
23793,1,3.0
23795,1,1.0
4909,1,6.0
23749,1,3.0
23975,1,1.0
23977,1,2.0
24045,1,5.0
4648,1,10.0
4472,1,1.0
4466,1,2.0
4464,1,2.0
4458,1,2.0
24061,1,1.0
4276,1,4.0
4272,1,1.0
4270,1,4.0
4266,1,2.0
4229,1,6.0
23976,1,4.0
14676,1,6.0
5521,1,5.0
5574,1,1.0
23404,1,1.0
23413,1,3.0
23415,1,2.0
7053,1,1.0
23419,1,5.0
23422,1,2.0
23423,1,3.0
23424,1,1.0
23436,1,6.0
23440,1,1.0
23443,1,1.0
23444,1,2.0
23447,1,2.0
5569,1,1.0
6329,1,2.0
5939,1,5.0
5932,1,1.0
5931,1,2.0
5929,1,1.0
5928,1,1.0
23650,1,1.0
23651,1,5.0
23652,1,1.0
5922,1,9.0
5599,1,4.0
5598,1,14.0
5595,1,12.0
5593,1,3.0
23645,1,1.0
4228,1,1.0
14679,1,3.0
14725,1,2.0
21677,1,1.0
21707,1,6.0
21709,1,1.0
21720,1,3.0
19851,1,1.0
19750,1,4.0
19742,1,2.0
19741,1,6.0
19739,1,1.0
19738,1,1.0
19734,1,5.0
19706,1,4.0
19705,1,1.0
19703,1,3.0
19702,1,2.0
19694,1,1.0
19664,1,1.0
19607,1,2.0
22050,1,2.0
19345,1,2.0
22087,1,2.0
22103,1,2.0
22115,1,7.0
22118,1,2.0
22124,1,4.0
22129,1,3.0
19254,1,2.0
21670,1,2.0
21664,1,1.0
21657,1,3.0
21655,1,1.0
21011,1,6.0
21101,1,1.0
21130,1,2.0
21134,1,2.0
20834,1,6.0
20818,1,2.0
21162,1,2.0
20673,1,2.0
20583,1,1.0
20582,1,3.0
20581,1,1.0
20578,1,3.0
21544,1,1.0
22133,1,6.0
20571,1,2.0
20541,1,2.0
20531,1,5.0
20505,1,4.0
20494,1,1.0
21586,1,1.0
20479,1,1.0
20441,1,1.0
21602,1,1.0
21605,1,2.0
21631,1,2.0
21637,1,3.0
21638,1,4.0
21642,1,4.0
20552,1,4.0
22134,1,6.0
22136,1,3.0
19128,1,7.0
15804,1,4.0
15802,1,1.0
15801,1,2.0
15800,1,3.0
22504,1,2.0
22505,1,3.0
22510,1,4.0
15736,1,5.0
15731,1,2.0
15725,1,2.0
22511,1,7.0
15690,1,1.0
22515,1,1.0
15805,1,2.0
22516,1,1.0
15631,1,2.0
22533,1,2.0
22534,1,5.0
15285,1,2.0
22538,1,2.0
22562,1,3.0
15078,1,1.0
15076,1,1.0
14939,1,1.0
14935,1,2.0
14893,1,2.0
14736,1,7.0
14734,1,3.0
22527,1,1.0
14724,1,2.0
15807,1,2.0
