,driver,year,round,circuit,constructor,status,position,points,laps,race_time,fastest_lap_time,lap,fastest_lap_rank,average_speed
0,ader,1950,3,indianapolis,rae,+15 Laps,22,0,123,NaN,NaN,NaN,NaN,NaN
1,agabashian,1950,3,indianapolis,kurtis_kraft,Oil leak,28,0,64,NaN,NaN,NaN,NaN,NaN
2,ascari,1950,2,monaco,ferrari,+1 Lap,2,6,99,NaN,NaN,NaN,NaN,NaN
3,ascari,1950,4,bremgarten,ferrari,Oil pump,17,0,4,NaN,NaN,NaN,NaN,NaN
4,ascari,1950,5,spa,ferrari,+1 Lap,5,2,34,NaN,NaN,NaN,NaN,NaN
5,ascari,1950,7,monza,ferrari,Finished,2,3,80,NaN,NaN,NaN,NaN,NaN
6,banks,1950,3,indianapolis,maserati,Oil line,25,0,112,NaN,NaN,NaN,NaN,NaN
7,bettenhausen,1950,3,indianapolis,kurtis_kraft,+2 Laps,5,1,136,NaN,NaN,NaN,NaN,NaN
8,biondetti,1950,7,monza,ferrari,Engine,18,0,17,NaN,NaN,NaN,NaN,NaN
9,bira,1950,1,silverstone,maserati,Out of fuel,14,0,49,NaN,NaN,NaN,NaN,NaN
10,bira,1950,2,monaco,maserati,+5 Laps,5,2,95,NaN,NaN,NaN,NaN,NaN
11,bira,1950,4,bremgarten,maserati,+2 Laps,4,3,40,NaN,NaN,NaN,NaN,NaN
12,bira,1950,7,monza,maserati,Engine,25,0,1,NaN,NaN,NaN,NaN,NaN
13,bonetto,1950,4,bremgarten,maserati,+2 Laps,5,2,40,NaN,NaN,NaN,NaN,NaN
14,bonetto,1950,6,reims,maserati,Engine,10,0,14,NaN,NaN,NaN,NaN,NaN
15,bonetto,1950,7,monza,milano,Withdrew,27,0,0,NaN,NaN,NaN,NaN,NaN
16,branca,1950,4,bremgarten,maserati,+7 Laps,11,0,35,NaN,NaN,NaN,NaN,NaN
17,branca,1950,5,spa,maserati,+6 Laps,10,0,29,NaN,NaN,NaN,NaN,NaN
18,walt_brown,1950,3,indianapolis,kurtis_kraft,+11 Laps,19,0,127,NaN,NaN,NaN,NaN,NaN
19,cabantous,1950,1,silverstone,lago,+2 Laps,4,3,68,NaN,NaN,NaN,NaN,NaN
20,cabantous,1950,4,bremgarten,lago,Accident,18,0,0,NaN,NaN,NaN,NaN,NaN
21,cabantous,1950,5,spa,lago,Oil pipe,14,0,2,NaN,NaN,NaN,NaN,NaN
22,cabantous,1950,6,reims,lago,+12 Laps,8,0,52,NaN,NaN,NaN,NaN,NaN
23,cantrell,1950,3,indianapolis,adams,Oil pressure,27,0,108,NaN,NaN,NaN,NaN,NaN
24,darter,1950,3,indianapolis,stevens,+5 Laps,12,0,133,NaN,NaN,NaN,NaN,NaN
25,chaboud,1950,5,spa,lago,Oil pipe,11,0,22,NaN,NaN,NaN,NaN,NaN
26,chaboud,1950,6,reims,lago,+5 Laps,5,1,59,NaN,NaN,NaN,NaN,NaN
